Time,num_of_tweets,num_of_positive,pct,num_of_negative
20150929,109,21,0.1926605504587156,88
20150930,113,38,0.336283185840708,75
20151001,58,34,0.5862068965517241,24
20151002,77,53,0.6883116883116883,24
20151003,4,2,0.5,2
20151004,5,5,1.0,0
20151005,19,3,0.15789473684210525,16
20151006,8,0,0.0,8
20151007,6,6,1.0,0
20151008,36,22,0.6111111111111112,14
20151009,18,15,0.8333333333333334,3
20151010,7,3,0.42857142857142855,4
20151011,6,3,0.5,3
20151012,8,3,0.375,5
20151014,2,1,0.5,1
20151016,1,0,0.0,1
20151019,3,2,0.6666666666666666,1
20151020,4,3,0.75,1
20151021,10,5,0.5,5
20151022,7,5,0.7142857142857143,2
20151023,3,1,0.3333333333333333,2
20151030,1,1,1.0,0
20151102,1,1,1.0,0
20151123,1,0,0.0,1
20151124,16,2,0.125,14
20151125,2,0,0.0,2
20151127,2,0,0.0,2
20151128,1,1,1.0,0
20151130,4,0,0.0,4
20151202,1,0,0.0,1
20151223,14,9,0.6428571428571429,5
20151224,4,3,0.75,1
20151225,2,2,1.0,0
20151228,3,2,0.6666666666666666,1
20151230,5,5,1.0,0
20151231,1,0,0.0,1
20160101,1,1,1.0,0
20160104,5,1,0.2,4
20160106,1,0,0.0,1
20160119,1,1,1.0,0
20160126,3,0,0.0,3
20160128,24,5,0.20833333333333334,19
20160129,44,17,0.38636363636363635,27
